429	0
422	0
414	0
407	0
400	0
392	0
385	0
378	0
371	0
364	0
357	0
351	0
344	0
337	0
330	0
324	0
317	0
311	0
304	0
298	0
292	0
285	0
279	0
273	0
267	0
261	0
255	0
249	0
243	0
237	0
232	0
226	0
221	0
215	0
209	0
204	0
199	0
193	0
188	0
183	0
178	0
173	0
168	0
163	0
158	0
153	0
148	0
144	0
139	0
134	0
130	0
125	0
121	0
117	0
112	0
108	0
104	0
100	0
96	0
92	0
88	0
84	0
80	0
76	0
72	0
69	0
65	0
62	0
58	0
55	0
51	0
48	0
45	0
42	0
39	0
